Track ID,Track Name,Artist ID,Played At
6vBr2tIHZKaMTpK7r99O3g,daisy.,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T05:24:56.687Z
5ydjxBSUIDn26MFzU3asP4,Rainy Days,3JsHnjpbhX4SnySpvpa9DK,2025-01-20T05:21:17.739Z
0fN27m84ofEpWHGwJ0THYz,Forever Only,0qQI2kmsvSe2ex9k94T5vu,2025-01-20T05:18:17.640Z
1sZBzYhrQG40zcSuKkI93c,Good Parts (when the quality is bad but I am),4SpbR6yFEvexJuaBpgAU5p,2025-01-20T05:15:01.044Z
3SLlqKXr91haZQhhNYNuVk,Who Do You Love,6WeDO4GynFmK4OxwkBzMW8,2025-01-20T05:12:24.137Z
5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),3HqSLMAZ3g3d5poNaI7GOU,2025-01-20T05:07:52.741Z
0DHyNlgEaolgfVxPhyFDTq,space,7isCii8IZOBPInAYFn2n5Q,2025-01-20T05:04:36.954Z
347PJwH4XqRbeaKaIW9sX3,Bittersweet (feat. LeeHi),3rHcBT06Vb1XGVUWhDALZt,2025-01-20T05:00:52.443Z
4YaKlkNVJNbrIqN82EKFsQ,A thought on an autumn night,2SY6OktZyMLdOnscX3DCyS,2025-01-20T04:57:57.156Z
3OY2OJ26fzEtNxkB1FEolc,Dream,4U80LJd8sG6U9YTFP5izka,2025-01-20T04:54:49.745Z
2Lf2P7Hei9O23LeZQACn8E,Restless,6UbmqUEgjLA6jAcXwbM1Z9,2025-01-20T04:51:06.858Z
4UMKAWKI1ljNHNxkmAAch0,Don't ever say love me (feat. RM of BTS),3VQDqjQ4wJyw8PzpGdlZpB,2025-01-20T04:46:39.259Z
2bdVgAQgosGUJoViVDNeOV,LIMBO,3pc0bOVB5whxmD50W79wwO,2025-01-20T04:43:03.776Z
67KfktISVA3XHSRqge5JiB,ride,5069JTmv5ZDyPeZaCCXiCg,2025-01-20T04:39:30.517Z
72eVBUhcdUQusHUhDbfQoQ,fairy of shampoo,41lcf5k3PkUdxupYLkcjCd,2025-01-20T04:35:41.475Z
5expoVGQPvXuwBBFuNGqBd,Hurt,6HvZYsbFfjnjFrWF950C9d,2025-01-20T04:32:08.980Z
6MwuIZkN3y6kgmxfskA5Zh,Soothing Breeze,0qjWYusrckF9BpkvWaoKRO,2025-01-20T11:17:53.323Z
4zPDjRgceGrR0Sm54YDTTf,Autumn Nocturne,063xkuRULzZu8fcoPR2rKR,2025-01-20T11:12:29.300Z
1hv5ICpYF2uXgcxvd2JBJ0,Perfect Night,2b9qemp1Y8NuEbY4RMYHY1,2025-01-20T11:07:34.519Z
